,predicted_sales
hawaiian_m,179.32199
classic_dlx_m,336.12943
five_cheese_l,369.4954
ital_supr_l,232.86954
mexicana_m,199.91017
thai_ckn_l,378.48938
ital_supr_m,273.70193
prsc_argla_l,146.35023
bbq_ckn_s,124.00913
the_greek_s,154.29675
spinach_supr_s,161.75433
classic_dlx_s,248.89868
green_garden_s,187.75137
ital_cpcllo_l,261.05396
ital_supr_s,119.38741
mexicana_s,135.13547
spicy_ital_l,297.1663
spin_pesto_l,141.88333
veggie_veg_s,207.44608
mexicana_l,246.695
southw_ckn_l,260.86795
bbq_ckn_l,360.96948
cali_ckn_l,208.30821
cali_ckn_m,322.1826
pepperoni_l,251.5224
cali_ckn_s,186.55798
ckn_pesto_l,159.57355
big_meat_s,522.84546
calabrese_m,198.39183
four_cheese_m,206.67154
ital_veggie_s,134.72646
mediterraneo_m,98.74309
peppr_salami_s,151.59001
spinach_fet_l,120.26594
napolitana_l,198.10915
sicilian_l,203.01639
ital_cpcllo_m,190.61307
southw_ckn_s,132.957
bbq_ckn_m,217.7866
pepperoni_m,250.08638
prsc_argla_s,177.88153
sicilian_m,166.66069
veggie_veg_l,172.0801
ckn_alfredo_s,94.703094
pepperoni_s,231.35306
green_garden_l,103.43478
green_garden_m,110.48893
pep_msh_pep_l,169.59514
hawaiian_s,214.86719
four_cheese_l,369.0887
peppr_salami_m,185.24638
ckn_alfredo_m,223.37885
peppr_salami_l,220.33708
spin_pesto_s,185.71112
thai_ckn_m,182.63028
classic_dlx_l,180.0832
ckn_pesto_m,154.03265
the_greek_xl,200.41708
hawaiian_l,287.45496
pep_msh_pep_s,176.4968
spinach_supr_m,146.30629
prsc_argla_m,189.04034
mediterraneo_l,160.50755
southw_ckn_m,189.74736
pep_msh_pep_m,198.24771
sicilian_s,191.96832
spicy_ital_s,163.1923
soppressata_l,145.85948
thai_ckn_s,173.66933
spinach_supr_l,140.83595
ital_veggie_l,105.80028
veggie_veg_m,251.74844
the_greek_m,133.15213
ckn_pesto_s,132.73291
spinach_fet_s,169.55202
napolitana_s,207.37323
spicy_ital_m,177.88509
ital_veggie_m,207.82277
ital_cpcllo_s,158.60733
mediterraneo_s,149.91214
spinach_fet_m,188.18405
napolitana_m,139.07436
spin_pesto_m,126.101166
brie_carre_s,196.02437
ckn_alfredo_l,121.7742
calabrese_s,68.59677
the_greek_l,131.15486
soppressata_m,114.26405
soppressata_s,136.71191
calabrese_l,161.11595
