,predicted_sales
hawaiian_m,15.356654
classic_dlx_m,30.769432
five_cheese_l,17.675844
ital_supr_l,27.77729
mexicana_m,4.7366347
thai_ckn_l,37.964176
ital_supr_m,3.0614834
prsc_argla_l,15.895852
bbq_ckn_s,7.898407
the_greek_s,12.701191
spinach_supr_s,2.064923
classic_dlx_s,20.428295
green_garden_s,24.08739
ital_cpcllo_l,25.103716
ital_supr_s,8.31941
mexicana_s,2.0732732
spicy_ital_l,41.948814
spin_pesto_l,7.4438987
veggie_veg_s,20.1469
mexicana_l,17.678495
southw_ckn_l,16.009048
bbq_ckn_l,29.76565
cali_ckn_l,19.299225
cali_ckn_m,22.393621
pepperoni_l,14.589451
cali_ckn_s,13.183906
ckn_pesto_l,11.887676
big_meat_s,36.990738
calabrese_m,13.709702
four_cheese_m,6.0278063
ital_veggie_s,2.9509656
mediterraneo_m,1.0806847
peppr_salami_s,5.060104
spinach_fet_l,7.4019747
napolitana_l,12.829892
sicilian_l,25.861916
ital_cpcllo_m,16.585308
southw_ckn_s,2.6430926
bbq_ckn_m,20.147778
pepperoni_m,17.677673
prsc_argla_s,17.961075
sicilian_m,2.0350318
veggie_veg_l,16.850946
ckn_alfredo_s,1.9844463
pepperoni_s,7.563818
green_garden_l,1.5584245
green_garden_m,0.92034566
pep_msh_pep_l,7.2444806
hawaiian_s,37.97959
four_cheese_l,28.932001
peppr_salami_m,12.895058
ckn_alfredo_m,8.069555
peppr_salami_l,12.19285
spin_pesto_s,15.22978
thai_ckn_m,12.4668865
classic_dlx_l,6.9451056
ckn_pesto_m,1.0649524
the_greek_xl,14.866759
hawaiian_l,36.595917
pep_msh_pep_s,15.770632
spinach_supr_m,5.0103736
prsc_argla_m,12.983122
mediterraneo_l,7.104537
southw_ckn_m,23.920164
pep_msh_pep_m,23.005398
sicilian_s,5.044954
spicy_ital_s,14.146917
soppressata_l,2.621557
thai_ckn_s,8.569778
spinach_supr_l,2.064053
ital_veggie_l,1.4351126
veggie_veg_m,19.282856
the_greek_m,1.7098712
ckn_pesto_s,13.917706
spinach_fet_s,0.5423459
napolitana_s,21.621155
spicy_ital_m,12.035917
ital_veggie_m,11.44569
ital_cpcllo_s,10.153231
mediterraneo_s,0.54868305
spinach_fet_m,25.416285
napolitana_m,6.170906
spin_pesto_m,9.0743685
brie_carre_s,10.723255
ckn_alfredo_l,1.085648
calabrese_s,2.0189166
the_greek_l,5.54249
soppressata_m,0.8127861
soppressata_s,2.0867367
calabrese_l,5.9656954
the_greek_xxl,2.0570714
